epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.89,3.28379,4.89704,0.00635,0.96159,0.03969,0.04521,0.01998,3.09272,3.54763,0.00668,0.00331461,0.00331461,0.0701685
2,632.718,3.07107,3.47359,0.00505,0.56692,0.18006,0.10492,0.0448,2.94794,2.57647,0.00605,0.00658213,0.00658213,0.0401027
3,939.741,3.01691,2.87947,0.00477,0.36236,0.26001,0.14509,0.05749,2.95568,2.35753,0.00583,0.00978364,0.00978364,0.00997091
4,1243.87,2.99562,2.61239,0.00462,0.33866,0.27848,0.18541,0.07717,2.87039,2.31187,0.0057,0.009703,0.009703,0.009703
5,1548.29,2.96261,2.43117,0.0045,0.24366,0.30022,0.19221,0.08094,2.8615,2.16831,0.00562,0.009604,0.009604,0.009604
6,1852.77,2.94215,2.30815,0.00435,0.27643,0.31822,0.20935,0.08519,2.85997,2.06635,0.00547,0.009505,0.009505,0.009505
7,2157.37,2.92892,2.23437,0.00431,0.27086,0.30906,0.20863,0.08484,2.87306,2.06098,0.00573,0.009406,0.009406,0.009406
8,2460.58,2.92274,2.17026,0.00424,0.28023,0.32515,0.22391,0.09142,2.81215,2.02935,0.00542,0.009307,0.009307,0.009307
9,2765.31,2.89488,2.13081,0.00426,0.28698,0.3216,0.21389,0.08726,2.84242,2.02775,0.00557,0.009208,0.009208,0.009208
10,3070.59,2.90183,2.07861,0.0042,0.28359,0.34083,0.2298,0.09512,2.80912,2.0548,0.00546,0.009109,0.009109,0.009109
11,3375.75,2.89686,2.03852,0.00419,0.28947,0.34956,0.23601,0.09784,2.8058,1.98811,0.00553,0.00901,0.00901,0.00901
12,3682.22,2.88444,1.99594,0.00414,0.28939,0.35766,0.2462,0.10189,2.80324,1.95863,0.00546,0.008911,0.008911,0.008911
13,3986.61,2.87591,1.96432,0.00415,0.29286,0.34655,0.24537,0.10405,2.77872,1.96001,0.00536,0.008812,0.008812,0.008812
14,4292.2,2.86604,1.93343,0.00411,0.29289,0.3694,0.24945,0.1025,2.8031,1.97776,0.00529,0.008713,0.008713,0.008713
15,4597.8,2.86316,1.89984,0.00405,0.29972,0.37104,0.25389,0.10579,2.81119,2.01978,0.00533,0.008614,0.008614,0.008614
16,4904.34,2.84138,1.88119,0.00404,0.3143,0.37566,0.26368,0.11243,2.75339,1.88943,0.00535,0.008515,0.008515,0.008515
17,5209.83,2.8437,1.87212,0.00404,0.31497,0.37245,0.25548,0.11019,2.75378,1.95651,0.00531,0.008416,0.008416,0.008416
18,5516.13,2.8437,1.85294,0.00408,0.32066,0.37208,0.26097,0.10623,2.82097,1.93969,0.00539,0.008317,0.008317,0.008317
19,5846.77,2.8283,1.84088,0.00404,0.32058,0.37761,0.26562,0.10895,2.82366,1.99048,0.00541,0.008218,0.008218,0.008218
20,6196.74,2.83464,1.82154,0.00401,0.31484,0.38426,0.26536,0.10756,2.82081,2.00817,0.00554,0.008119,0.008119,0.008119
21,6536.89,2.84343,1.81982,0.00403,0.31165,0.38251,0.26717,0.1085,2.77148,1.90463,0.00528,0.00802,0.00802,0.00802
22,6842.27,2.83932,1.80225,0.00397,0.32959,0.38841,0.27439,0.11422,2.76168,1.89117,0.00525,0.007921,0.007921,0.007921
23,7149.26,2.82525,1.79433,0.00401,0.32863,0.37405,0.26911,0.10636,2.81468,1.92777,0.00532,0.007822,0.007822,0.007822
24,7456.16,2.82405,1.78044,0.00397,0.32866,0.39054,0.27682,0.11065,2.78625,1.94611,0.0053,0.007723,0.007723,0.007723
