epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.755,2.43299,2.90267,0.00429,0.47171,0.23163,0.26887,0.10374,2.54613,2.52605,0.00517,0.000331263,0.000331263,0.067205
2,630.421,2.20175,1.84717,0.00374,0.43997,0.51097,0.42444,0.18278,2.27934,1.65168,0.00457,0.00066021,0.00066021,0.0342006
3,941.553,2.14647,1.6701,0.00361,0.51347,0.53989,0.53261,0.24237,2.24774,1.54726,0.00454,0.000984757,0.000984757,0.0011918
4,1254.32,2.13615,1.56784,0.00358,0.53962,0.58707,0.56905,0.26181,2.19141,1.44496,0.0043,0.0009802,0.0009802,0.0009802
5,1556.79,2.11163,1.51088,0.00351,0.50912,0.60143,0.56479,0.25214,2.25444,1.53908,0.0045,0.0009736,0.0009736,0.0009736
6,1861.87,2.09934,1.44579,0.00351,0.57688,0.59871,0.61546,0.2826,2.17839,1.48303,0.00435,0.000967,0.000967,0.000967
7,2167.03,2.12081,1.44593,0.00353,0.55777,0.6204,0.6187,0.28669,2.15685,1.44628,0.00434,0.0009604,0.0009604,0.0009604
8,2474.18,2.10179,1.38404,0.00351,0.601,0.61142,0.6239,0.28824,2.2147,1.37945,0.00442,0.0009538,0.0009538,0.0009538
9,2778.77,2.09281,1.36045,0.0035,0.59565,0.61254,0.62599,0.29113,2.18651,1.4049,0.00441,0.0009472,0.0009472,0.0009472
10,3102.7,2.08382,1.34971,0.00347,0.63514,0.63457,0.64787,0.29428,2.17995,1.38173,0.00439,0.0009406,0.0009406,0.0009406
11,3412.6,2.10712,1.33513,0.00353,0.61975,0.62236,0.64085,0.28412,2.23783,1.36099,0.00451,0.000934,0.000934,0.000934
12,3718.55,2.08745,1.31671,0.00351,0.59688,0.63665,0.63184,0.29473,2.20823,1.40742,0.00444,0.0009274,0.0009274,0.0009274
13,4025.49,2.06351,1.29079,0.00344,0.62242,0.65519,0.67089,0.31595,2.18962,1.38755,0.00436,0.0009208,0.0009208,0.0009208
14,4329.83,2.08579,1.30013,0.00345,0.59849,0.64166,0.65366,0.30459,2.14367,1.3835,0.00424,0.0009142,0.0009142,0.0009142
15,4635.45,2.07767,1.29129,0.00346,0.58324,0.661,0.65433,0.29811,2.228,1.35429,0.00444,0.0009076,0.0009076,0.0009076
16,4939.12,2.06523,1.28629,0.00342,0.60906,0.63045,0.63899,0.29456,2.15837,1.38861,0.00433,0.000901,0.000901,0.000901
