epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.847,3.00793,5.04551,1.38331,0.75796,0.04947,0.03469,0.01444,2.80478,3.37402,1.17368,6.51872e-05,6.51872e-05,6.51872e-05
2,336.454,2.84138,3.14478,1.16967,0.37222,0.11498,0.0831,0.0328,2.71965,2.20146,1.15179,0.000127936,0.000127936,0.000127936
3,489.711,2.75037,2.47328,1.14633,0.23581,0.13529,0.10795,0.04208,2.62688,1.96114,1.12898,0.000188098,0.000188098,0.000188098
4,646.868,2.6608,2.23964,1.13789,0.23331,0.14518,0.11968,0.0469,2.56005,1.79607,1.11477,0.000184358,0.000184358,0.000184358
5,801.905,2.61219,2.08497,1.12924,0.22959,0.15142,0.1348,0.0537,2.50359,1.72898,1.1134,0.000180477,0.000180477,0.000180477
6,959.806,2.55399,1.97176,1.12112,0.23194,0.15903,0.14723,0.05956,2.46308,1.65376,1.11307,0.000176596,0.000176596,0.000176596
7,1115.01,2.53076,1.90989,1.1204,0.22235,0.18346,0.15921,0.06532,2.44436,1.60282,1.10708,0.000172715,0.000172715,0.000172715
8,1275.1,2.50834,1.85511,1.12363,0.21736,0.18593,0.16438,0.06712,2.45057,1.57563,1.10164,0.000168834,0.000168834,0.000168834
9,1435.61,2.50236,1.81738,1.11206,0.25178,0.18664,0.17047,0.07067,2.41494,1.55656,1.09987,0.000164954,0.000164954,0.000164954
10,1592.21,2.48299,1.77201,1.11067,0.24424,0.19517,0.17442,0.07276,2.40437,1.52525,1.10691,0.000161073,0.000161073,0.000161073
11,1755.49,2.47817,1.74977,1.11002,0.27387,0.1954,0.17609,0.07299,2.40326,1.5209,1.09924,0.000157192,0.000157192,0.000157192
12,1921.05,2.46029,1.72537,1.10761,0.2792,0.20093,0.18351,0.07642,2.39661,1.49992,1.09555,0.000153311,0.000153311,0.000153311
13,2086.21,2.46493,1.71334,1.10081,0.31764,0.1979,0.18245,0.0764,2.38533,1.49751,1.09304,0.00014943,0.00014943,0.00014943
