epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.7447,3.04432,4.0009,1.32695,0.47521,0.20014,0.11325,0.04777,2.68045,2.5565,1.16096,0.000174839,0.000174839,0.000174839
2,181.914,2.73504,2.3679,1.17272,0.55143,0.26752,0.17629,0.06994,2.6129,2.23014,1.16009,0.000343239,0.000343239,0.000343239
3,283.686,2.65512,2.07367,1.16113,0.38437,0.3117,0.21904,0.08906,2.52612,2.01155,1.136,0.000504696,0.000504696,0.000504696
4,389.005,2.62369,1.92035,1.15355,0.31732,0.32786,0.23953,0.09951,2.45246,1.86139,1.11794,0.000494756,0.000494756,0.000494756
5,489.535,2.57555,1.80295,1.14421,0.35031,0.34938,0.25011,0.10235,2.49384,1.85649,1.11159,0.000484341,0.000484341,0.000484341
6,583.918,2.55909,1.75157,1.12773,0.35071,0.36417,0.26014,0.10368,2.4366,1.81148,1.10295,0.000473926,0.000473926,0.000473926
7,677.101,2.51216,1.68744,1.12406,0.33031,0.3539,0.25402,0.10487,2.45407,1.82498,1.1159,0.000463511,0.000463511,0.000463511
8,768.126,2.49928,1.64172,1.12406,0.32565,0.37701,0.26648,0.11176,2.40145,1.76739,1.10814,0.000453096,0.000453096,0.000453096
9,858.917,2.48718,1.61155,1.1184,0.34675,0.38691,0.27861,0.11682,2.38823,1.74855,1.09546,0.000442682,0.000442682,0.000442682
10,950.218,2.4857,1.60254,1.11661,0.32767,0.40232,0.28587,0.12085,2.3964,1.75278,1.09556,0.000432267,0.000432267,0.000432267
11,1041.72,2.47897,1.57494,1.11124,0.34868,0.41226,0.28023,0.11485,2.39415,1.71398,1.1048,0.000421852,0.000421852,0.000421852
12,1133,2.46212,1.54994,1.1089,0.35554,0.39436,0.28555,0.11893,2.37383,1.72614,1.10817,0.000411437,0.000411437,0.000411437
13,1224.85,2.46439,1.53638,1.10003,0.34697,0.40845,0.28912,0.12154,2.36086,1.70523,1.10217,0.000401022,0.000401022,0.000401022
14,1316.42,2.46201,1.5307,1.10117,0.35108,0.41726,0.29625,0.12087,2.37542,1.6962,1.09919,0.000390608,0.000390608,0.000390608
15,1407.77,2.45842,1.51988,1.10013,0.35835,0.41071,0.29055,0.12115,2.36807,1.6985,1.1029,0.000380193,0.000380193,0.000380193
16,1499.63,2.44126,1.50363,1.09709,0.36164,0.41732,0.29513,0.12369,2.35172,1.68061,1.08274,0.000369778,0.000369778,0.000369778
17,1591.54,2.44231,1.48806,1.0914,0.36062,0.42142,0.29459,0.12241,2.35811,1.70885,1.08177,0.000359363,0.000359363,0.000359363
18,1683,2.43647,1.48113,1.09172,0.35168,0.4156,0.29345,0.12154,2.35274,1.67436,1.09014,0.000348948,0.000348948,0.000348948
19,1775.05,2.42034,1.46092,1.09177,0.35675,0.42292,0.30479,0.12713,2.34589,1.67458,1.08691,0.000338534,0.000338534,0.000338534
20,1867.14,2.42313,1.45948,1.09397,0.36863,0.41884,0.29911,0.12174,2.35782,1.67381,1.08486,0.000328119,0.000328119,0.000328119
21,1958.83,2.42269,1.46695,1.09502,0.37149,0.41321,0.30592,0.12871,2.33396,1.65874,1.07782,0.000317704,0.000317704,0.000317704
22,2050.63,2.41874,1.44009,1.08561,0.36857,0.42696,0.30643,0.1289,2.32662,1.65257,1.07903,0.000307289,0.000307289,0.000307289
23,2142.18,2.39218,1.42789,1.08163,0.37119,0.42456,0.30658,0.12952,2.32355,1.65434,1.08117,0.000296874,0.000296874,0.000296874
24,2233.82,2.40201,1.4288,1.08506,0.36552,0.42357,0.3032,0.12812,2.33063,1.68654,1.08377,0.00028646,0.00028646,0.00028646
