epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.31,3.52627,3.83158,0.00565,0.07019,0.12461,0.0298,0.00851,3.59658,3.54015,0.00609,0.000331439,0.000331439,0.0671875
2,672.992,3.24767,2.70414,0.0047,0.30527,0.18991,0.12053,0.03584,3.32112,2.51657,0.00565,0.000656546,0.000656546,0.0341793
3,1012.18,3.15312,2.49753,0.00447,0.26183,0.19971,0.14111,0.04646,3.23823,2.44265,0.00546,0.000973403,0.000973403,0.0011628
4,1344.59,3.08815,2.37768,0.00432,0.20731,0.22803,0.1448,0.04446,3.22492,2.45991,0.00551,0.000962875,0.000962875,0.000962875
5,1676.49,3.05495,2.29942,0.00413,0.26981,0.25055,0.17542,0.05547,3.18196,2.31226,0.00516,0.0009505,0.0009505,0.0009505
6,2008.03,3.01345,2.24858,0.00413,0.28985,0.25716,0.17992,0.05597,3.14959,2.29738,0.00523,0.000938125,0.000938125,0.000938125
7,2337.73,2.98784,2.19242,0.00402,0.28674,0.24862,0.18077,0.06097,3.06144,2.32663,0.00507,0.00092575,0.00092575,0.00092575
8,2669.23,2.97339,2.18412,0.00401,0.31829,0.26924,0.19387,0.06202,3.12202,2.23586,0.00509,0.000913375,0.000913375,0.000913375
9,3001.63,2.93567,2.16049,0.00396,0.27058,0.28131,0.20144,0.06448,3.04717,2.24803,0.0048,0.000901,0.000901,0.000901
10,3332.76,2.91685,2.13915,0.0039,0.2822,0.27395,0.19321,0.06347,3.03251,2.20821,0.00483,0.000888625,0.000888625,0.000888625
11,3662.38,2.90701,2.12365,0.00391,0.27518,0.28975,0.19822,0.06562,3.01141,2.20988,0.00487,0.00087625,0.00087625,0.00087625
12,3996.02,2.88756,2.08926,0.00379,0.31305,0.28025,0.19931,0.06248,3.09771,2.23387,0.00515,0.000863875,0.000863875,0.000863875
13,4322.79,2.87782,2.08448,0.00382,0.29054,0.29199,0.20938,0.06571,3.06677,2.26925,0.00487,0.0008515,0.0008515,0.0008515
14,4653.43,2.8753,2.08469,0.00379,0.31834,0.28049,0.21119,0.06664,3.03149,2.22443,0.00489,0.000839125,0.000839125,0.000839125
15,5011,2.85407,2.06733,0.00378,0.29475,0.28628,0.21795,0.07332,3.00972,2.2007,0.00477,0.00082675,0.00082675,0.00082675
16,5345.57,2.85993,2.05736,0.00376,0.31586,0.30171,0.21892,0.07126,3.01218,2.22442,0.00486,0.000814375,0.000814375,0.000814375
17,5675.75,2.82756,2.0609,0.00367,0.30239,0.31125,0.22422,0.07357,3.0221,2.23824,0.00477,0.000802,0.000802,0.000802
18,6006.77,2.8216,2.04791,0.00371,0.30008,0.30378,0.23235,0.07953,2.96858,2.21501,0.00475,0.000789625,0.000789625,0.000789625
19,6340.4,2.8215,2.03627,0.00369,0.30781,0.29617,0.22571,0.07357,3.00308,2.22889,0.00483,0.00077725,0.00077725,0.00077725
20,6671.9,2.81122,2.02841,0.00368,0.30575,0.29828,0.22819,0.07777,2.98438,2.18281,0.00479,0.000764875,0.000764875,0.000764875
21,7004.98,2.79995,2.00803,0.00366,0.31618,0.31166,0.23927,0.07766,2.98022,2.12947,0.00473,0.0007525,0.0007525,0.0007525
22,7338.12,2.79539,2.00797,0.00368,0.2906,0.30618,0.21583,0.07141,2.99675,2.16292,0.00484,0.000740125,0.000740125,0.000740125
23,7668.89,2.79971,2.00923,0.00364,0.32145,0.29662,0.21791,0.07164,2.98273,2.13729,0.00476,0.00072775,0.00072775,0.00072775
24,8001.73,2.77907,1.99777,0.0036,0.31272,0.30486,0.22579,0.07536,2.99222,2.16419,0.00479,0.000715375,0.000715375,0.000715375
25,8333.31,2.78393,1.99411,0.00361,0.30181,0.31117,0.23477,0.07834,3.00429,2.14708,0.00469,0.000703,0.000703,0.000703
26,8664.94,2.76535,1.9771,0.0036,0.32056,0.30492,0.24013,0.07949,2.97516,2.10683,0.00474,0.000690625,0.000690625,0.000690625
27,8993.77,2.77776,1.97751,0.00358,0.30056,0.30465,0.22596,0.0712,2.9757,2.13043,0.00475,0.00067825,0.00067825,0.00067825
28,9321.73,2.7726,1.96782,0.0036,0.3163,0.30794,0.23791,0.08023,2.95343,2.15755,0.00454,0.000665875,0.000665875,0.000665875
29,9650.91,2.77968,1.98219,0.00357,0.31387,0.30807,0.23888,0.08057,2.97126,2.10553,0.00473,0.0006535,0.0006535,0.0006535
30,9978.94,2.76914,1.96848,0.00356,0.32161,0.30901,0.24213,0.08125,2.9596,2.14504,0.00466,0.000641125,0.000641125,0.000641125
31,10312.5,2.75697,1.95667,0.00354,0.30537,0.31465,0.24282,0.08272,2.96157,2.14321,0.00466,0.00062875,0.00062875,0.00062875
32,10651,2.74823,1.94629,0.00353,0.32778,0.31663,0.25011,0.08404,2.97322,2.13133,0.00467,0.000616375,0.000616375,0.000616375
33,10981.8,2.74479,1.94245,0.00356,0.34095,0.31886,0.23725,0.07862,2.96981,2.17398,0.00474,0.000604,0.000604,0.000604
34,11309.5,2.74078,1.93344,0.00354,0.32131,0.30441,0.23998,0.07964,2.98299,2.09946,0.0047,0.000591625,0.000591625,0.000591625
